_id,job,createdAt,applicationStatus
6917cdf4998d66b34dac075b,6917cd88998d66b34dac0734,2025-11-15 00:48:52.932,SIN_ESTADO
692867743b4884927933f66e,692797626dc39bf20c52f60f,2025-11-27 15:00:04.307,SIN_ESTADO
6928ab6e985136edda36ae82,69279ce46dc39bf20c52f61c,2025-11-27 19:50:06.623,SIN_ESTADO
692a2b217f1f3ab5036abc0d,69279ddf6dc39bf20c52f62f,2025-11-28 23:07:13.054,SIN_ESTADO
692a5c537f1f3ab5036abe21,69279ce46dc39bf20c52f61c,2025-11-29 02:37:07.991,SIN_ESTADO
69308e2b53aa614862331c3b,69279ce46dc39bf20c52f61c,2025-12-03 19:23:23.539,SIN_ESTADO
69308e5f53aa614862331c57,69279ddf6dc39bf20c52f62f,2025-12-03 19:24:15.980,SIN_ESTADO
693090a753aa614862331d66,69279ce46dc39bf20c52f61c,2025-12-03 19:33:59.344,SIN_ESTADO
693090e553aa614862331d90,69279f586dc39bf20c52f64b,2025-12-03 19:35:01.189,SIN_ESTADO
6930978d53aa614862331eae,69279ce46dc39bf20c52f61c,2025-12-03 20:03:25.755,SIN_ESTADO
693097ad53aa614862331ec5,692797626dc39bf20c52f60f,2025-12-03 20:03:57.470,SIN_ESTADO
6931c2ddbe3e8d01ca25d946,69279ce46dc39bf20c52f61c,2025-12-04 17:20:29.196,SIN_ESTADO
6931c3a1be3e8d01ca25d9af,69279ce46dc39bf20c52f61c,2025-12-04 17:23:45.069,SIN_ESTADO
6931c437be3e8d01ca25d9be,69279ce46dc39bf20c52f61c,2025-12-04 17:26:15.413,SIN_ESTADO
6931d509be3e8d01ca25da14,69279ce46dc39bf20c52f61c,2025-12-04 18:38:01.143,SIN_ESTADO
6931dc42be3e8d01ca25da9a,69279ddf6dc39bf20c52f62f,2025-12-04 19:08:50.552,SIN_ESTADO
6931e053be3e8d01ca25dab5,69279ce46dc39bf20c52f61c,2025-12-04 19:26:11.189,SIN_ESTADO
6931e8a0be3e8d01ca25dad2,69279f586dc39bf20c52f64b,2025-12-04 20:01:36.295,SIN_ESTADO
69325371be3e8d01ca25dd31,692797626dc39bf20c52f60f,2025-12-05 03:37:21.014,SIN_ESTADO
693314bd89577a418209815b,692797626dc39bf20c52f60f,2025-12-05 17:22:05.799,SIN_ESTADO
6934e51b5f46e17fc2979f3c,69279ce46dc39bf20c52f61c,2025-12-07 02:23:23.456,SIN_ESTADO
6934e5445f46e17fc2979f4d,692f5830aafd375d6d269ffb,2025-12-07 02:24:04.647,SIN_ESTADO
6934e5795f46e17fc2979f62,69279ce46dc39bf20c52f61c,2025-12-07 02:24:57.493,SIN_ESTADO
69367b93a46e8a4dc96979e8,69279ce46dc39bf20c52f61c,2025-12-08 07:17:39.021,SIN_ESTADO
69367bf8a46e8a4dc9697a06,692797626dc39bf20c52f60f,2025-12-08 07:19:20.984,SIN_ESTADO
6937168e415ea2a4aa859be8,69279ce46dc39bf20c52f61c,2025-12-08 18:18:54.342,SIN_ESTADO
693716d8415ea2a4aa859bfd,69279ce46dc39bf20c52f61c,2025-12-08 18:20:08.307,SIN_ESTADO
6937318d415ea2a4aa859d20,69279ce46dc39bf20c52f61c,2025-12-08 20:14:05.305,SIN_ESTADO
693768048eb4294c699ce892,69279ce46dc39bf20c52f61c,2025-12-09 00:06:28.740,SIN_ESTADO
6938a38d5d13ccc024946b3f,692797626dc39bf20c52f60f,2025-12-09 22:32:45.361,SIN_ESTADO
6938a3d45d13ccc024946b69,692f5830aafd375d6d269ffb,2025-12-09 22:33:56.500,SIN_ESTADO
6938a3e85d13ccc024946b7d,692797626dc39bf20c52f60f,2025-12-09 22:34:16.826,SIN_ESTADO
6938a40e5d13ccc024946b92,69279ce46dc39bf20c52f61c,2025-12-09 22:34:54.060,SIN_ESTADO
693998942e0173794c843fdd,69279ce46dc39bf20c52f61c,2025-12-10 15:58:12.205,SIN_ESTADO
693999302e0173794c843ff2,69279ce46dc39bf20c52f61c,2025-12-10 16:00:48.360,SIN_ESTADO
6939993f2e0173794c844007,69279ce46dc39bf20c52f61c,2025-12-10 16:01:03.490,SIN_ESTADO
69399d7a2e0173794c84407f,69279ddf6dc39bf20c52f62f,2025-12-10 16:19:06.186,SIN_ESTADO
6939c5402e0173794c8441d1,69279ce46dc39bf20c52f61c,2025-12-10 19:08:48.483,SIN_ESTADO
6939c5732e0173794c8441e6,69279ce46dc39bf20c52f61c,2025-12-10 19:09:39.761,SIN_ESTADO
693a37642e0173794c8442e7,692797626dc39bf20c52f60f,2025-12-11 03:15:48.941,SIN_ESTADO
693b28756594fdd9ab4f1c1a,69279ce46dc39bf20c52f61c,2025-12-11 20:24:21.766,SIN_ESTADO
693c7cc79b5b16da9a6a5cd5,692797626dc39bf20c52f60f,2025-12-12 20:36:23.521,SIN_ESTADO
693c7cdc9b5b16da9a6a5cf4,69279ddf6dc39bf20c52f62f,2025-12-12 20:36:44.862,SIN_ESTADO
693c7ce69b5b16da9a6a5d08,692797626dc39bf20c52f60f,2025-12-12 20:36:54.300,SIN_ESTADO
693cdd8f7a7404be27a297c6,692797626dc39bf20c52f60f,2025-12-13 03:29:19.127,SIN_ESTADO
69421bd816b074ec7dbe0c0b,69279ce46dc39bf20c52f61c,2025-12-17 02:56:24.283,SIN_ESTADO
69421c1716b074ec7dbe0c24,69279ce46dc39bf20c52f61c,2025-12-17 02:57:27.422,SIN_ESTADO
694352db9ca5116b82cd4e27,692797626dc39bf20c52f60f,2025-12-18 01:03:23.728,SIN_ESTADO
6943535c9ca5116b82cd4e35,692797626dc39bf20c52f60f,2025-12-18 01:05:32.819,SIN_ESTADO
